mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
gdb_29241,CC1=COC(=N)NC1=O,3.20636,1.42504,0.99258,3.1857,71.97,-0.246,-0.0418,0.2042,1128.1326,0.113794,-454.016545,-454.008602,-454.007658,-454.04928,29.38,-1558.8371500031,-1567.1842747211,-1575.481198719,-1455.993444975
gdb_54157,CC(=O)C1(C)NC1C#C,2.15089,1.44947,1.11591,2.4509,79.57,-0.2386,-0.0194,0.2191,1169.8793,0.144003,-401.911536,-401.901706,-401.900762,-401.94623,35.992,-1777.8804616151,-1787.7103901,-1797.786302113,-1656.773734651
gdb_48127,C1CN(C1=O)C(=O)C=O,3.03629,1.25933,0.90031,4.8679,66.23,-0.2628,-0.0935,0.1693,1197.4328,0.099488,-473.868041,-473.859693,-473.858749,-473.901966,28.706,-1477.9204919621,-1485.124922791,-1492.828850784,-1382.5610867771
gdb_36271,C#CCN1C2C3OC3C12,4.74544,1.04583,0.97785,2.203,74.48,-0.2287,0.0366,0.2653,1204.5502,0.121886,-400.592985,-400.585173,-400.584229,-400.625888,30.155,-1578.32946207,-1587.6485982291,-1596.538518232,-1469.469828259
gdb_90022,OC1CC2(COC2=N)C1,2.89252,1.49517,1.17563,3.2822,72.72,-0.2478,0.0143,0.262,1064.7167,0.148542,-439.071178,-439.06336,-439.062416,-439.103376,30.686,-1741.38140063,-1752.473249714,-1762.549161727,-1618.4523875301
gdb_40843,C1CC1N=C2CN=CN2,5.6265,0.85214,0.78991,3.0795,84.08,-0.2135,-0.0011,0.2123,1455.0214,0.148634,-398.13378,-398.125371,-398.124427,-398.168209,30.872,-1756.465461972,-1767.186453237,-1777.26236525,-1634.832254957
gdb_21256,COc1cc(n[nH]1)O,5.51625,1.38477,1.11476,2.3729,59.87,-0.2079,0.0473,0.2552,1002.8103,0.108029,-415.869018,-415.861433,-415.860489,-415.900927,27.443,-1370.110680708,-1377.793273395,-1385.497828897,-1275.8757716511
gdb_119847,CCOC1=NCC2OC12,4.60834,0.95994,0.84469,1.7737,74.0,-0.2443,0.0104,0.2547,1389.2692,0.14776,-439.077545,-439.069264,-439.06832,-439.111029,30.588,-1745.376750433,-1756.17806285,-1766.2539748631,-1623.254713907
gdb_82192,CC12CC1C1OC1C2O,2.44466,1.84009,1.36482,2.0361,73.24,-0.2494,0.0664,0.3157,1000.9962,0.159542,-423.000194,-422.992211,-422.991267,-423.032248,31.872,-1845.4424731181,-1857.3199634701,-1867.988871488,-1716.045724755
gdb_80188,CN1C2C(O)C2NC1=O,2.53043,1.66174,1.36232,3.5492,68.36,-0.2231,0.057,0.28,995.8938,0.136807,-455.163694,-455.155358,-455.154414,-455.196627,31.211,-1650.8318519301,-1660.709471099,-1670.192387107,-1534.741431912
gdb_96685,CC(=NC)OCCC#C,4.0922,0.65861,0.57537,1.4983,85.27,-0.2467,0.0312,0.2779,1921.3235,0.166865,-403.123698,-403.112536,-403.111592,-403.161666,38.087,-1910.671406159,-1921.442598144,-1932.704502167,-1778.248181889
gdb_121002,CC1=NCC(CCO)O1,3.40996,0.86733,0.74355,2.2114,76.61,-0.2406,0.0311,0.2717,1552.4688,0.170446,-440.309272,-440.299569,-440.298625,-440.344934,34.359,-1890.4449085621,-1902.1310086691,-1913.392912692,-1756.3186248661
gdb_89846,CC1OC2(CC2)CC1O,2.90259,1.29891,1.05958,1.8642,79.09,-0.2276,0.0676,0.2952,1218.9409,0.181893,-424.219791,-424.210799,-424.209854,-424.253988,34.835,-1982.8989470771,-1995.9203863361,-2007.774658855,-1841.475988729
gdb_58274,CC(C)C(C)NC(N)=O,2.53878,0.93568,0.88077,3.3733,82.8,-0.2429,0.0582,0.3011,1505.1756,0.204277,-421.663073,-421.651785,-421.650841,-421.699744,41.309,-2099.8446618621,-2113.2018184361,-2126.2427104741,-1946.2430088421
gdb_63085,CC1(O)C2CC=CCC12,2.78012,1.37471,1.25675,1.2696,83.07,-0.235,0.0324,0.2675,1120.0128,0.183153,-387.093661,-387.085043,-387.084099,-387.126245,34.329,-2040.42708967,-2053.683844804,-2065.538744832,-1898.247982977
gdb_85274,CC12OC1C(=O)CC2O,2.61937,1.5324,1.14981,2.0612,68.14,-0.2474,-0.0341,0.2132,1074.7514,0.134669,-458.975249,-458.966894,-458.96595,-459.008178,31.698,-1693.4560282641,-1703.322352271,-1712.805268279,-1577.723288376
gdb_18998,N=C1OC2C3OC2C13,5.6706,1.96114,1.7288,1.4016,58.52,-0.254,0.0039,0.2579,726.3251,0.097021,-398.535571,-398.530205,-398.529261,-398.564932,21.716,-1309.816478443,-1318.003588366,-1325.115147863,-1220.976264259
gdb_83677,OC1C2CCC2C1C#N,2.39789,1.63019,1.31445,3.7674,75.0,-0.2711,0.0194,0.2905,1031.2099,0.148582,-401.933888,-401.925664,-401.92472,-401.967498,30.93,-1791.9065427831,-1802.744250722,-1812.820162735,-1670.1195960631
gdb_83358,CC12CCC(OC1)C2O,2.12529,1.93573,1.52779,1.4512,76.29,-0.2415,0.0761,0.3176,1002.1344,0.184533,-424.243642,-424.235606,-424.234662,-424.275478,32.792,-1997.8656642361,-2011.4870020991,-2023.3419021271,-1854.9611571391
gdb_54112,CC(=O)C1(C)C2CCC12,2.50303,1.55792,1.17899,2.6001,83.13,-0.2288,-0.0089,0.2198,1143.5541,0.181344,-387.083301,-387.074171,-387.073227,-387.11786,34.982,-2033.9260964301,-2046.861566956,-2058.716466984,-1892.986320012
gdb_51060,O=CNC12C3C4C1N4C23,4.3549,1.3033,1.22374,2.5967,68.67,-0.2214,0.0113,0.2327,1009.3692,0.112687,-416.696503,-416.689431,-416.688487,-416.7288,26.829,-1494.683767388,-1503.578079954,-1511.875003952,-1391.82123709
gdb_53877,CC(=O)C(=O)OCC=O,4.1474,0.842,0.74951,1.586,63.8,-0.2652,-0.0839,0.1813,1464.8878,0.107803,-494.944292,-494.934488,-494.933544,-494.981128,32.293,-1537.6969993021,-1544.876329771,-1553.173253769,-1437.5308751771
gdb_30529,NC=[NH+]C1=C([O-])OC=C1,3.69462,1.04033,0.81261,7.7687,90.89,-0.1508,-0.0351,0.1157,1326.4251,0.113161,-453.957598,-453.949355,-453.948411,-453.990653,30.637,-1521.84737698,-1530.0062489981,-1538.303172996,-1419.204474832
gdb_48915,O=CC12CC3C1CCN23,2.57816,1.81328,1.42836,2.0312,75.91,-0.2459,-0.0399,0.2059,966.1465,0.148898,-401.897989,-401.890672,-401.889727,-401.930334,28.354,-1769.3795971921,-1780.786455794,-1790.861740298,-1646.7988515871
gdb_86033,CC1CC(O)(CC#C)C1,2.87279,1.07362,0.94117,1.0887,84.26,-0.2509,0.0409,0.2918,1346.7264,0.179822,-387.053633,-387.043777,-387.042833,-387.088362,37.647,-2015.309159418,-2027.78905841,-2039.643958438,-1874.4760595301
gdb_19981,C#CC1CC1C1CO1,3.536,1.67634,1.31566,2.2205,70.85,-0.2404,0.0504,0.2908,945.7081,0.129164,-346.529548,-346.521789,-346.520844,-346.561881,28.901,-1590.974395929,-1600.3267900651,-1609.216710068,-1484.5068264261
gdb_105864,OCC12C(O)C1CC2=O,2.22449,1.54952,1.23263,4.667,69.42,-0.2466,-0.0162,0.2304,1074.6478,0.134772,-458.939908,-458.931243,-458.930299,-458.973467,32.218,-1671.2792326951,-1680.951028912,-1690.43394492,-1555.9418234771
gdb_110528,CCC1C2C3OC1C23C,3.60343,1.13111,1.07708,1.8274,82.2,-0.2253,0.076,0.3013,1258.6948,0.181926,-387.033036,-387.024323,-387.023379,-387.066401,33.475,-2002.384356545,-2015.5814983241,-2027.436398352,-1860.695334381
gdb_132289,CC1=NC(F)=NC(=N)O1,2.08617,1.90768,1.00265,2.7438,64.31,-0.2635,-0.0717,0.1918,1078.7402,0.088875,-494.082009,-494.074456,-494.073512,-494.114732,27.017,-1354.7523979331,-1361.566518164,-1368.677450152,-1265.051241401
gdb_118773,CC1(O)CC1(O)CCO,3.06682,1.05987,0.91665,2.9301,75.98,-0.2283,0.062,0.2903,1347.9064,0.179417,-461.344103,-461.333777,-461.332833,-461.378753,39.266,-1924.2299931221,-1936.4137078661,-1948.268607894,-1782.835272679
gdb_39669,C1CC(C1)C1COC=N1,3.87303,1.06099,1.02929,1.3842,78.83,-0.2464,0.022,0.2684,1248.1245,0.173359,-403.152205,-403.144134,-403.14319,-403.185822,30.17,-1928.559805222,-1941.2706275261,-1952.532531549,-1793.406289293
gdb_73288,CC12CCC3(C)C1CC23,2.75797,1.76098,1.26765,0.1184,89.61,-0.2717,0.0958,0.3675,1091.1319,0.207056,-351.135607,-351.127404,-351.12646,-351.16747,34.114,-2203.081815033,-2218.3767193991,-2231.417611437,-2047.335336251
gdb_61650,OC(CC1CC1O)C=O,3.58489,0.81304,0.7625,3.3142,73.34,-0.257,-0.0321,0.2249,1520.274,0.156789,-460.14856,-460.138875,-460.137931,-460.183984,35.137,-1801.8676206491,-1812.676463174,-1823.345371192,-1674.3295539441
gdb_85400,CC1=CC(O)CC(=O)C1,1.77776,1.6759,0.91521,3.306,78.9,-0.2424,-0.0173,0.2252,1275.1386,0.158485,-423.064839,-423.05588,-423.054936,-423.098641,33.77,-1886.0077924231,-1897.272833991,-1907.941742009,-1757.707929792
gdb_83735,CC1C2COC3(CC3)C12,2.71465,1.51707,1.34414,1.3875,82.49,-0.2236,0.0804,0.304,1080.8789,0.183314,-387.070486,-387.062287,-387.061343,-387.1029,32.785,-2025.8845685951,-2039.4042500001,-2051.259150028,-1883.598785372
gdb_104375,COC1(C)CCNC1=O,2.16811,1.58099,1.3579,2.6214,75.46,-0.228,0.0261,0.254,1089.9979,0.170859,-440.326805,-440.317431,-440.316487,-440.360621,34.805,-1901.4470238591,-1913.339574427,-1924.60147845,-1766.162358549
gdb_117877,CCCC(O)C#CC=O,3.91755,0.55521,0.51228,3.1267,85.38,-0.2698,-0.065,0.2048,2137.9837,0.155664,-423.004522,-422.993587,-422.992643,-423.04233,36.912,-1848.1583320701,-1858.183415854,-1868.852323872,-1722.372270493
gdb_28844,NC1=NC=NC(=N)C=N1,3.21097,1.51191,1.15714,3.5491,76.04,-0.2413,-0.0688,0.1725,1019.8555,0.103471,-429.073517,-429.06599,-429.065046,-429.105676,28.159,-1421.784164331,-1429.50315254,-1437.207080533,-1324.852221592
gdb_39227,C1C2COC3OC12C=C3,2.65559,2.30014,1.64117,1.692,71.21,-0.2272,-0.0035,0.2238,853.0426,0.138198,-421.782579,-421.776249,-421.775305,-421.81277,27.131,-1709.2297219971,-1720.367379238,-1729.850295246,-1592.034886139
gdb_62067,CC(COC1CC1)C=O,3.48893,0.76362,0.66041,1.6483,80.42,-0.2487,-0.0226,0.2262,1721.1139,0.179407,-424.213054,-424.202829,-424.201885,-424.249564,36.145,-1978.6714189441,-1990.919139606,-2002.774039634,-1838.6998889131
gdb_37794,C1C2C3OC1OC=NC23,2.65553,2.29559,1.77456,2.3437,67.05,-0.2308,0.0141,0.2449,815.3817,0.128202,-437.887161,-437.881131,-437.880187,-437.917372,24.957,-1626.2516968911,-1636.688426579,-1645.578346582,-1515.44678518
gdb_123827,C1COCc2c1[nH]nn2,3.59575,1.54729,1.1233,4.4731,70.06,-0.2452,-0.0016,0.2436,1023.6576,0.128428,-434.069578,-434.062856,-434.061912,-434.100764,26.212,-1579.8448963051,-1589.8467622561,-1598.7366822591,-1469.2916157031
gdb_66757,OC12C3C4C(C1N34)C2=O,2.88423,2.07432,1.50814,2.2916,63.09,-0.243,-0.0265,0.2165,843.3546,0.101183,-436.597948,-436.591451,-436.590507,-436.628683,25.948,-1445.110556388,-1453.477133885,-1461.181061878,-1348.0054211651
gdb_131010,c1cn(nc1C#N)C=O,4.37016,1.05955,0.85279,6.4052,72.26,-0.2939,-0.0841,0.2098,1220.2975,0.078859,-431.710197,-431.703033,-431.702089,-431.742325,25.554,-1355.015324204,-1361.185620201,-1367.703556184,-1271.795080624
gdb_19510,O=CC1C2CCOC12,3.83729,1.5459,1.52582,3.7358,65.42,-0.2387,-0.0203,0.2184,895.3057,0.131124,-383.732059,-383.7249,-383.723956,-383.763983,26.077,-1581.3760182651,-1591.1042902921,-1599.994837804,-1474.395773909
gdb_99186,OCC(=O)CC1CCO1,5.18293,0.73329,0.67674,1.7326,72.03,-0.25,-0.0307,0.2194,1642.3131,0.157259,-460.156186,-460.146635,-460.145691,-460.192518,33.318,-1806.6530042831,-1817.545933014,-1828.214841032,-1679.68471575
gdb_53662,CC#CCCC1(CC1)O,4.76012,0.58384,0.56147,1.2968,88.5,-0.2406,0.0574,0.2979,2041.4621,0.179607,-387.054659,-387.043873,-387.042929,-387.092262,38.23,-2015.9529836521,-2027.8492992741,-2039.704199302,-1876.9233446301
gdb_329,CC(C#N)C#N,5.61395,2.83765,2.00723,4.1272,47.23,-0.3433,-0.0129,0.3304,583.9904,0.072887,-264.235803,-264.229597,-264.228653,-264.265543,20.75,-1054.152996609,-1059.146713231,-1064.480539731,-990.694266457
gdb_119128,COCC1(CN1)C(N)=O,2.51941,1.24419,0.92488,5.1682,73.38,-0.2361,0.0277,0.2638,1294.0103,0.158744,-456.336107,-456.326489,-456.325545,-456.370964,34.962,-1758.6799412331,-1769.530199352,-1780.19910737,-1630.425886759
gdb_102539,COC(CO)C(O)C=O,2.33502,1.25617,0.97485,2.9597,69.02,-0.2547,-0.0385,0.2162,1257.6805,0.156315,-497.28647,-497.276459,-497.275515,-497.321613,35.744,-1751.7315340761,-1762.335181158,-1773.004089176,-1623.76111367
gdb_19125,C#CC1(CO1)C1CC1,3.35312,1.79032,1.35038,1.6254,70.68,-0.2599,0.0253,0.2851,931.8485,0.128728,-346.529839,-346.522062,-346.521118,-346.561918,29.405,-1591.157001048,-1600.4981000221,-1609.388647534,-1484.530044259
gdb_91103,OC1CC2C3CC=C1C23,3.10824,1.69976,1.35021,1.7012,80.47,-0.2203,-0.0012,0.2191,985.2867,0.161611,-385.84735,-385.840248,-385.839304,-385.87842,29.559,-1886.2073402851,-1898.638293575,-1909.307201593,-1756.4491467381
gdb_50755,O=CC1COCOC=N1,3.37678,1.22739,0.9382,2.1557,66.85,-0.2514,-0.0324,0.219,1179.3956,0.124405,-475.023872,-475.01587,-475.014926,-475.057321,28.774,-1575.3632270271,-1584.561881458,-1593.4518014611,-1466.334165786
gdb_116921,CCCC#CC1OC1C,5.18182,0.53339,0.50382,2.0554,90.95,-0.2423,0.0317,0.274,2254.6102,0.17988,-387.054644,-387.044007,-387.043063,-387.092097,37.236,-2015.9435710171,-2027.9333854801,-2039.788285508,-1876.8198056451
gdb_74314,NC1=NC(C=O)C(=O)N1,2.9899,1.29831,0.95664,6.5064,65.6,-0.2432,-0.0348,0.2084,1151.8463,0.100995,-470.063416,-470.055144,-470.054199,-470.097152,29.708,-1439.6449529981,-1446.896447002,-1454.599747486,-1343.806758446
gdb_31339,CNc1c2n(cn1)CC2,3.98866,1.21548,0.95185,3.3276,82.1,-0.1701,0.0453,0.2154,1237.5012,0.150178,-398.120657,-398.112399,-398.111455,-398.154148,30.237,-1748.230661365,-1759.046406489,-1769.122318502,-1626.0088509081
gdb_91818,CC12NC1CC(O)C=C2,3.34159,1.22853,1.03796,1.9163,80.54,-0.2377,0.0077,0.2454,1206.8944,0.171881,-403.135157,-403.126678,-403.125734,-403.167884,33.572,-1917.86203179,-1930.3168304221,-1941.578734445,-1782.1500328511
gdb_40519,C1OC1C12CCC1CO2,3.11784,1.37981,1.17863,0.7894,74.85,-0.244,0.0593,0.3034,1103.9246,0.159399,-422.966693,-422.958753,-422.957808,-422.999665,30.239,-1824.4202941091,-1836.3247673481,-1846.993047857,-1695.599599008
gdb_44612,O=C1NC2C3OCC1C23,2.94077,1.95784,1.54526,3.496,66.75,-0.2318,0.0205,0.2523,868.2169,0.127752,-437.906362,-437.900017,-437.899073,-437.936986,25.96,-1638.3004972,-1648.539561553,-1657.429481556,-1527.754746706
gdb_28136,c1nc2c(o1)nc([nH]2)N,5.4714,1.34402,1.08121,3.2112,67.22,-0.1929,0.0027,0.1956,1014.7049,0.093107,-448.960468,-448.953744,-448.9528,-448.991406,25.823,-1363.115837885,-1370.450163077,-1377.561095065,-1272.15527079
gdb_15833,CCOC(C)C1CC1,2.9326,1.34296,1.04672,1.0755,79.12,-0.2468,0.0866,0.3334,1236.7156,0.198619,-350.192401,-350.182736,-350.181791,-350.227372,35.009,-2005.8927593641,-2019.38043781,-2031.828333843,-1860.967673287
gdb_70696,CC12NC1CCCC2=O,2.24228,1.83043,1.2043,3.0751,78.91,-0.2315,-0.0108,0.2207,1088.2447,0.172561,-403.168804,-403.160501,-403.159557,-403.201409,32.488,-1938.9758271131,-1951.5410673291,-1962.802971352,-1803.187272076
gdb_111141,CCC1C2OC1C2(C)C,3.36609,1.07728,0.95143,1.7527,86.67,-0.2344,0.0901,0.3245,1379.0607,0.20382,-388.229624,-388.219966,-388.219021,-388.263699,37.23,-2125.4024759231,-2139.7837271851,-2152.823991714,-1970.788023377
gdb_27066,Cc1c(nco1)OC=O,3.42741,1.13317,0.86306,3.9955,66.88,-0.2395,-0.0147,0.2247,1248.0499,0.100176,-473.87719,-473.868991,-473.868047,-473.911097,28.157,-1483.6615718031,-1490.959501473,-1498.663429466,-1388.290871456
gdb_70951,CC12CC3(C1)OC(=N)C23,3.44123,1.3886,1.19311,2.8774,79.17,-0.261,0.009,0.27,1080.2151,0.147176,-401.828353,-401.820793,-401.819849,-401.859982,30.602,-1725.6823804681,-1736.936754383,-1747.012666396,-1602.6523384191
gdb_96022,CC1CCCC1CC#C,2.53815,1.14383,0.89616,0.8412,90.67,-0.2565,0.0578,0.3142,1392.5343,0.205855,-351.14436,-351.134626,-351.133682,-351.179146,37.016,-2208.57440131,-2222.9085893971,-2235.949481435,-2054.6621313351
gdb_54039,C1CC1N(C=O)C(=O)N,2.45332,1.38801,0.95457,1.5283,71.0,-0.2581,-0.0196,0.2385,1213.0535,0.135955,-455.19186,-455.183081,-455.182137,-455.22599,32.363,-1668.506270424,-1678.105903106,-1687.588819114,-1553.166978679
gdb_44051,O=C1CC23CCC12OC3,2.58691,1.70564,1.58224,3.6425,71.3,-0.235,-0.038,0.197,938.7042,0.135356,-421.760252,-421.752832,-421.751888,-421.792168,29.019,-1695.2193285541,-1705.673000985,-1715.155916993,-1579.106945721
gdb_108527,CCC12CCC3C1CC23,2.6371,1.61003,1.22024,0.1475,89.04,-0.2755,0.0909,0.3664,1134.9381,0.208244,-351.130041,-351.122048,-351.121104,-351.162409,32.695,-2199.589099939,-2215.0157811951,-2228.056673233,-2044.1595132021
gdb_129138,N=C1N=NN(C=O)N=N1,4.95009,1.20605,1.01407,2.9922,66.98,-0.272,-0.1134,0.1586,1061.7612,0.064704,-480.954091,-480.94707,-480.946126,-480.986014,25.122,-1061.905870304,-1067.275464817,-1073.200404795,-984.318147508
gdb_20981,CN(C)c1cnon1,4.72715,1.61316,1.22935,4.6825,64.09,-0.2265,-0.0298,0.1967,946.4699,0.118823,-395.929793,-395.922104,-395.92116,-395.962168,26.974,-1395.976601688,-1404.482486183,-1412.78003769,-1295.296547692
gdb_125683,Cc1c(n[nH]n1)C(=O)N,2.72541,1.5653,1.00034,3.1469,68.48,-0.2548,-0.0299,0.2249,1109.9954,0.114058,-450.179069,-450.170421,-450.169476,-450.213032,30.435,-1499.94731288,-1507.851416244,-1516.147712733,-1397.513998738
gdb_74673,CC1=CC2C3CCC2C13,3.94507,1.31362,1.26181,0.2736,87.63,-0.205,0.0254,0.2304,1111.8661,0.185344,-349.947366,-349.940067,-349.939122,-349.978662,30.451,-2085.301513278,-2099.3865802921,-2111.240852811,-1942.570198665
gdb_133810,CCOCCC(F)(F)F,4.47386,0.58123,0.57366,2.0578,62.77,-0.2632,0.084,0.3472,1918.4958,0.142017,-570.59719,-570.587184,-570.586239,-570.633876,34.283,-1656.689020936,-1666.407252819,-1676.4825373231,-1536.6339990561
gdb_8955,COC(C)C(C)CO,3.66072,1.13251,0.91983,2.2885,75.28,-0.2491,0.0769,0.326,1310.7419,0.197195,-387.329787,-387.319149,-387.318205,-387.365425,37.591,-1955.4278580751,-1968.304342755,-1980.752866297,-1810.665296829
gdb_53273,CC#CC1CC1C(N)=O,2.42066,1.05712,0.85921,3.115,82.8,-0.2293,0.0214,0.2506,1420.1954,0.146091,-401.950864,-401.940802,-401.939858,-401.987442,35.382,-1802.5591355671,-1812.2434819641,-1822.319393977,-1682.6346355591
gdb_28892,Cc1ccnc(c1O)O,2.40115,1.82234,1.04268,0.2207,75.34,-0.2139,-0.0093,0.2046,1092.0225,0.125335,-437.967129,-437.95904,-437.958096,-437.999609,30.875,-1676.4323366031,-1685.57702526,-1694.466945263,-1567.051242813
gdb_125219,CC1=CC(=N)ON=C1N,3.03216,1.42486,0.97656,4.8242,78.57,-0.2168,-0.058,0.1589,1160.0,0.124733,-434.061176,-434.052964,-434.05202,-434.093775,31.405,-1574.572565687,-1583.639443228,-1592.5293632311,-1464.905955302
gdb_90680,CC1CC2C1C2C(C)=O,3.51162,1.07198,1.00623,2.4982,84.22,-0.2298,-0.01,0.2198,1313.1417,0.181434,-387.087578,-387.078372,-387.077428,-387.121971,34.687,-2036.6099524231,-2049.4977322651,-2061.352632293,-1895.566009511
gdb_76398,OC1C(O)C1(C)C1CC1,2.95427,1.08207,1.00985,2.0274,78.91,-0.2233,0.0549,0.2782,1294.6477,0.180813,-424.183422,-424.17364,-424.172696,-424.218001,37.083,-1960.0770722561,-1972.602779405,-1984.457679433,-1818.893822346
gdb_30080,Cn1cncc1CC=O,3.0551,1.26629,0.99584,2.0053,76.11,-0.2238,-0.0353,0.1885,1176.8805,0.136501,-418.053969,-418.045328,-418.044384,-418.088099,30.45,-1718.654279668,-1728.341136101,-1737.824052109,-1603.571011595
gdb_76766,OC1C(O)C2(O)CCC12,2.2369,1.6979,1.34739,2.3208,70.24,-0.2445,0.0479,0.2924,1029.8373,0.158421,-460.126574,-460.117762,-460.116818,-460.160032,34.119,-1788.0712077751,-1799.4278656571,-1810.0967736751,-1659.299458376
gdb_89039,CN1CC1CNC(N)=O,3.17793,0.96989,0.87083,3.1498,76.51,-0.2224,0.0568,0.2792,1396.1792,0.170943,-436.46966,-436.459727,-436.458782,-436.505375,36.205,-1830.214712215,-1841.755857743,-1853.017134257,-1695.76149633
gdb_82883,CC12C3CC(C1O)C2O3,2.44415,1.98203,1.45575,2.1737,73.92,-0.236,0.0709,0.3069,959.01,0.160265,-422.986248,-422.978719,-422.977775,-423.017694,30.667,-1836.6912326041,-1848.8536120421,-1859.5225200601,-1706.9129587691
gdb_98399,CCC(=O)C(=NC)NC,2.1692,1.19195,0.78409,2.3382,84.79,-0.2239,-0.0437,0.1802,1507.3672,0.179504,-420.427922,-420.416566,-420.415622,-420.465841,39.001,-1952.6279129171,-1964.165293391,-1976.020193419,-1813.180352901
gdb_58641,CC(O)C1(CN1)C1CC1,2.59877,1.35983,1.03474,2.551,81.5,-0.2336,0.0654,0.299,1233.3547,0.193682,-404.308951,-404.299315,-404.298371,-404.343196,36.915,-2026.576711022,-2040.082587229,-2052.530483262,-1878.446308973
gdb_107880,CCC12CN3C1C(O)C23,2.36203,1.64639,1.15907,1.5763,78.92,-0.2284,0.06,0.2884,1124.4312,0.170473,-403.048845,-403.04038,-403.039436,-403.081883,32.776,-1863.700474982,-1876.1640587401,-1887.425962763,-1728.183631342
gdb_114237,CCC1CC2(CC2O)C1,2.94092,1.00074,0.87183,1.1972,86.76,-0.2458,0.0799,0.3256,1457.0447,0.204581,-388.266018,-388.256222,-388.255277,-388.301237,37.233,-2148.240038469,-2162.5346934891,-2175.574958018,-1994.3434562191
